uf_co,uf_no,ano,sexo,racacor,pop_under74
26,Pernambuco,2010,_1,_2,288715
26,Pernambuco,2010,_2,_2,264153
26,Pernambuco,2010,_1,_3,34303
26,Pernambuco,2010,_2,_3,46173
26,Pernambuco,2010,_1,_4,2319398
26,Pernambuco,2010,_2,_4,2427884
26,Pernambuco,2010,_1,_5,25477
26,Pernambuco,2010,_2,_5,26460
26,Pernambuco,2022,_1,_1,1354851
26,Pernambuco,2022,_2,_1,1533667
26,Pernambuco,2022,_1,_2,445992
26,Pernambuco,2022,_2,_2,426359
26,Pernambuco,2022,_1,_3,5222
26,Pernambuco,2022,_2,_3,7461
26,Pernambuco,2022,_1,_4,2332632
26,Pernambuco,2022,_2,_4,2507464
26,Pernambuco,2022,_1,_5,39841
26,Pernambuco,2022,_2,_5,41037
27,Alagoas,2010,_1,_1,454045
27,Alagoas,2010,_2,_1,505169
27,Alagoas,2010,_1,_2,106718
27,Alagoas,2010,_2,_2,93075
27,Alagoas,2010,_1,_3,15493
27,Alagoas,2010,_2,_3,20669
27,Alagoas,2010,_1,_4,898861
27,Alagoas,2010,_2,_4,941440
27,Alagoas,2010,_1,_5,7079
27,Alagoas,2010,_2,_5,7140
27,Alagoas,2022,_1,_1,414602
27,Alagoas,2022,_2,_1,462457
27,Alagoas,2022,_1,_2,151675
27,Alagoas,2022,_2,_2,136217
27,Alagoas,2022,_1,_3,2154
27,Alagoas,2022,_2,_3,3231
27,Alagoas,2022,_1,_4,876591
27,Alagoas,2022,_2,_4,957346
27,Alagoas,2022,_1,_5,9706
27,Alagoas,2022,_2,_5,9834
28,Sergipe,2010,_1,_1,270232
28,Sergipe,2010,_2,_1,295145
28,Sergipe,2010,_1,_2,94215
28,Sergipe,2010,_2,_2,85026
28,Sergipe,2010,_1,_3,10845
28,Sergipe,2010,_2,_3,14446
28,Sergipe,2010,_1,_4,606975
28,Sergipe,2010,_2,_4,635620
28,Sergipe,2010,_1,_5,2449
28,Sergipe,2010,_2,_5,2646
28,Sergipe,2022,_1,_1,253197
28,Sergipe,2022,_2,_1,277350
28,Sergipe,2022,_1,_2,140869
28,Sergipe,2022,_2,_2,133062
28,Sergipe,2022,_1,_3,1220
28,Sergipe,2022,_2,_3,1684
28,Sergipe,2022,_1,_4,628961
28,Sergipe,2022,_2,_4,690728
28,Sergipe,2022,_1,_5,2129
28,Sergipe,2022,_2,_5,2233
29,Bahia,2010,_1,_1,1445480
29,Bahia,2010,_2,_1,1539172
29,Bahia,2010,_1,_2,1184413
29,Bahia,2010,_2,_2,1146280
29,Bahia,2010,_1,_3,69279
29,Bahia,2010,_2,_3,85965
29,Bahia,2010,_1,_4,3979202
29,Bahia,2010,_2,_4,4100545
29,Bahia,2010,_1,_5,27091
29,Bahia,2010,_2,_5,27587
29,Bahia,2022,_1,_1,1250308
29,Bahia,2022,_2,_1,1350745
29,Bahia,2022,_1,_2,1507596
29,Bahia,2022,_2,_2,1538008
29,Bahia,2022,_1,_3,6533
29,Bahia,2022,_2,_3,8684
29,Bahia,2022,_1,_4,3775624
29,Bahia,2022,_2,_4,4010172
29,Bahia,2022,_1,_5,39327
29,Bahia,2022,_2,_5,40986
31,Minas Gerais,2010,_1,_1,4150061
31,Minas Gerais,2010,_2,_1,4391310
31,Minas Gerais,2010,_1,_2,908052
31,Minas Gerais,2010,_2,_2,840219
31,Minas Gerais,2010,_1,_3,81674
31,Minas Gerais,2010,_2,_3,101135
31,Minas Gerais,2010,_1,_4,4230161
31,Minas Gerais,2010,_2,_4,4236184
31,Minas Gerais,2010,_1,_5,14789
31,Minas Gerais,2010,_2,_5,15323
31,Minas Gerais,2022,_1,_1,3805511
31,Minas Gerais,2022,_2,_1,4112509
31,Minas Gerais,2022,_1,_2,1193096
31,Minas Gerais,2022,_2,_2,1135240
31,Minas Gerais,2022,_1,_3,13886
31,Minas Gerais,2022,_2,_3,15748
31,Minas Gerais,2022,_1,_4,4578600
31,Minas Gerais,2022,_2,_4,4665892
31,Minas Gerais,2022,_1,_5,15013
31,Minas Gerais,2022,_2,_5,15510
32,Espírito Santo,2010,_1,_1,692548
32,Espírito Santo,2010,_2,_1,732313
32,Espírito Santo,2010,_1,_2,153673
32,Espírito Santo,2010,_2,_2,131791
32,Espírito Santo,2010,_1,_3,9523
32,Espírito Santo,2010,_2,_3,12053
32,Espírito Santo,2010,_1,_4,829595
32,Espírito Santo,2010,_2,_4,844966
32,Espírito Santo,2010,_1,_5,4432
32,Espírito Santo,2010,_2,_5,4438
32,Espírito Santo,2022,_1,_1,670973
32,Espírito Santo,2022,_2,_1,723213
32,Espírito Santo,2022,_1,_2,215603
32,Espírito Santo,2022,_2,_2,199535
32,Espírito Santo,2022,_1,_3,1890
32,Espírito Santo,2022,_2,_3,2172
32,Espírito Santo,2022,_1,_4,911314
32,Espírito Santo,2022,_2,_4,939853
32,Espírito Santo,2022,_1,_5,5526
32,Espírito Santo,2022,_2,_5,5611
33,Rio de Janeiro,2010,_1,_1,3404062
33,Rio de Janeiro,2010,_2,_1,3811012
33,Rio de Janeiro,2010,_1,_2,950369
33,Rio de Janeiro,2010,_2,_2,971380
33,Rio de Janeiro,2010,_1,_3,53111
33,Rio de Janeiro,2010,_2,_3,67104
33,Rio de Janeiro,2010,_1,_4,3004767
33,Rio de Janeiro,2010,_2,_4,3137425
33,Rio de Janeiro,2010,_1,_5,7081
33,Rio de Janeiro,2010,_2,_5,8014
33,Rio de Janeiro,2022,_1,_1,2921225
33,Rio de Janeiro,2022,_2,_1,3363720
33,Rio de Janeiro,2022,_1,_2,1209507
33,Rio de Janeiro,2022,_2,_2,1288050
33,Rio de Janeiro,2022,_1,_3,9202
33,Rio de Janeiro,2022,_2,_3,10994
33,Rio de Janeiro,2022,_1,_4,3143808
33,Rio de Janeiro,2022,_2,_4,3305568
33,Rio de Janeiro,2022,_1,_5,6846
33,Rio de Janeiro,2022,_2,_5,8018
35,São Paulo,2010,_1,_1,12235678
35,São Paulo,2010,_2,_1,13154247
35,São Paulo,2010,_1,_2,1153715
35,São Paulo,2010,_2,_2,1066230
35,São Paulo,2010,_1,_3,251412
35,São Paulo,2010,_2,_3,269044
35,São Paulo,2010,_1,_4,5928935
35,São Paulo,2010,_2,_4,5890765
35,São Paulo,2010,_1,_5,19645
35,São Paulo,2010,_2,_5,20919
35,São Paulo,2022,_1,_1,11539055
35,São Paulo,2022,_2,_1,12721150
35,São Paulo,2022,_1,_2,1752708
35,São Paulo,2022,_2,_2,1676689
35,São Paulo,2022,_1,_3,216800
35,São Paulo,2022,_2,_3,230739
35,São Paulo,2022,_1,_4,7095259
35,São Paulo,2022,_2,_4,7147380
35,São Paulo,2022,_1,_5,23230
35,São Paulo,2022,_2,_5,25274
41,Paraná,2010,_1,_1,3464725
41,Paraná,2010,_2,_1,3661504
41,Paraná,2010,_1,_2,172523
41,Paraná,2010,_2,_2,148269
41,Paraná,2010,_1,_3,56489
41,Paraná,2010,_2,_3,59667
41,Paraná,2010,_1,_4,1301460
41,Paraná,2010,_2,_4,1264651
41,Paraná,2010,_1,_5,12630
41,Paraná,2010,_2,_5,12543
41,Paraná,2022,_1,_1,3393885
41,Paraná,2022,_2,_1,3651504
41,Paraná,2022,_1,_2,248977
41,Paraná,2022,_2,_2,217510
41,Paraná,2022,_1,_3,43588
41,Paraná,2022,_2,_3,45566
41,Paraná,2022,_1,_4,1677121
41,Paraná,2022,_2,_4,1659902
41,Paraná,2022,_1,_5,13591
41,Paraná,2022,_2,_5,13588
42,Santa Catarina,2010,_1,_1,2523046
42,Santa Catarina,2010,_2,_1,2580658
42,Santa Catarina,2010,_1,_2,95266
42,Santa Catarina,2010,_2,_2,85104
42,Santa Catarina,2010,_1,_3,12752
42,Santa Catarina,2010,_2,_3,12694
42,Santa Catarina,2010,_1,_4,398796
42,Santa Catarina,2010,_2,_4,365193
42,Santa Catarina,2010,_1,_5,7948
42,Santa Catarina,2010,_2,_5,7778
42,Santa Catarina,2022,_1,_1,2718752
42,Santa Catarina,2022,_2,_1,2843147
42,Santa Catarina,2022,_1,_2,162583
42,Santa Catarina,2022,_2,_2,140879
42,Santa Catarina,2022,_1,_3,6072
42,Santa Catarina,2022,_2,_3,5773
42,Santa Catarina,2022,_1,_4,741904
42,Santa Catarina,2022,_2,_4,694121
42,Santa Catarina,2022,_1,_5,9523
42,Santa Catarina,2022,_2,_5,9323
43,Rio Grande do Sul,2010,_1,_1,4177635
43,Rio Grande do Sul,2010,_2,_1,4377386
43,Rio Grande do Sul,2010,_1,_2,288888
43,Rio Grande do Sul,2010,_2,_2,290915
43,Rio Grande do Sul,2010,_1,_3,16694
43,Rio Grande do Sul,2010,_2,_3,17468
43,Rio Grande do Sul,2010,_1,_4,563962
43,Rio Grande do Sul,2010,_2,_4,539716
43,Rio Grande do Sul,2010,_1,_5,16181
43,Rio Grande do Sul,2010,_2,_5,16014
43,Rio Grande do Sul,2022,_1,_1,3888966
43,Rio Grande do Sul,2022,_2,_1,4144438
43,Rio Grande do Sul,2022,_1,_2,337315
43,Rio Grande do Sul,2022,_2,_2,347530
43,Rio Grande do Sul,2022,_1,_3,3562
43,Rio Grande do Sul,2022,_2,_3,3894
43,Rio Grande do Sul,2022,_1,_4,786386
43,Rio Grande do Sul,2022,_2,_4,758976
43,Rio Grande do Sul,2022,_1,_5,16674
43,Rio Grande do Sul,2022,_2,_5,16639
50,Mato Grosso do Sul,2010,_1,_1,550328
50,Mato Grosso do Sul,2010,_2,_1,574815
50,Mato Grosso do Sul,2010,_1,_2,64433
50,Mato Grosso do Sul,2010,_2,_2,52411
50,Mato Grosso do Sul,2010,_1,_3,13657
50,Mato Grosso do Sul,2010,_2,_3,15048
50,Mato Grosso do Sul,2010,_1,_4,527312
50,Mato Grosso do Sul,2010,_2,_4,519046
50,Mato Grosso do Sul,2010,_1,_5,36262
50,Mato Grosso do Sul,2010,_2,_5,35489
50,Mato Grosso do Sul,2022,_1,_1,540507
50,Mato Grosso do Sul,2022,_2,_1,578090
50,Mato Grosso do Sul,2022,_1,_2,92667
50,Mato Grosso do Sul,2022,_2,_2,79996
50,Mato Grosso do Sul,2022,_1,_3,8687
50,Mato Grosso do Sul,2022,_2,_3,9045
50,Mato Grosso do Sul,2022,_1,_4,624533
50,Mato Grosso do Sul,2022,_2,_4,632162
50,Mato Grosso do Sul,2022,_1,_5,46870
50,Mato Grosso do Sul,2022,_2,_5,46987
51,Mato Grosso,2010,_1,_1,561574
51,Mato Grosso,2010,_2,_1,553083
51,Mato Grosso,2010,_1,_2,125476
51,Mato Grosso,2010,_2,_2,99570
51,Mato Grosso,2010,_1,_3,16030
51,Mato Grosso,2010,_2,_3,17944
51,Mato Grosso,2010,_1,_4,798832
51,Mato Grosso,2010,_2,_4,768364
51,Mato Grosso,2010,_1,_5,21024
51,Mato Grosso,2010,_2,_5,20458
51,Mato Grosso,2022,_1,_1,566938
51,Mato Grosso,2022,_2,_1,574451
